task,algo1,algo2,test,alpha,epsilon,target_n,power,se
Walker2d-v5,SAC,TD3,t-test,0.05,0.5,2,0.076,0.008379976133617566
Walker2d-v5,SAC,TD3,Welch t-test,0.05,0.5,2,0.041,0.006270486424512854
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,0.5,2,0.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,0.5,2,0.0,0.0
Walker2d-v5,SAC,TD3,bootstrap,0.05,0.5,2,0.453,0.015741378592740853
Walker2d-v5,SAC,TD3,permutation,0.05,0.5,2,0.435,0.0156772127624779
Walker2d-v5,SAC,TD3,t-test,0.05,0.5,3,0.109,0.00985489725973843
Walker2d-v5,SAC,TD3,Welch t-test,0.05,0.5,3,0.097,0.00935900635751467
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,0.5,3,0.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,0.5,3,0.161,0.011622349160131096
Walker2d-v5,SAC,TD3,bootstrap,0.05,0.5,3,0.405,0.015523369479594306
Walker2d-v5,SAC,TD3,permutation,0.05,0.5,3,0.262,0.013905250806799567
Walker2d-v5,SAC,TD3,t-test,0.05,0.5,5,0.233,0.013368283360252356
Walker2d-v5,SAC,TD3,Welch t-test,0.05,0.5,5,0.176,0.012042591083317577
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,0.5,5,0.064,0.007739767438366608
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,0.5,5,0.12,0.010276186062932104
Walker2d-v5,SAC,TD3,bootstrap,0.05,0.5,5,0.4,0.015491933384829668
Walker2d-v5,SAC,TD3,permutation,0.05,0.5,5,0.226,0.013225883713385657
Walker2d-v5,SAC,TD3,t-test,0.05,0.5,10,0.348,0.015063067416698366
Walker2d-v5,SAC,TD3,Welch t-test,0.05,0.5,10,0.345,0.015032464867745409
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,0.5,10,0.149,0.01126050620531777
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,0.5,10,0.202,0.012696298673235441
Walker2d-v5,SAC,TD3,bootstrap,0.05,0.5,10,0.442,0.01570464899321217
Walker2d-v5,SAC,TD3,permutation,0.05,0.5,10,0.375,0.015309310892394862
Walker2d-v5,SAC,TD3,t-test,0.05,0.5,20,0.49,0.0158082257068907
Walker2d-v5,SAC,TD3,Welch t-test,0.05,0.5,20,0.447,0.015722308990730335
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,0.5,20,0.334,0.014914556647785411
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,0.5,20,0.357,0.015150940564862632
Walker2d-v5,SAC,TD3,bootstrap,0.05,0.5,20,0.482,0.01580113919943749
Walker2d-v5,SAC,TD3,permutation,0.05,0.5,20,0.475,0.015791611697353755
Walker2d-v5,SAC,TD3,t-test,0.05,0.5,30,0.54,0.015760710643876435
Walker2d-v5,SAC,TD3,Welch t-test,0.05,0.5,30,0.554,0.01571890581433708
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,0.5,30,0.477,0.01579465099329517
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,0.5,30,0.486,0.015805189021330938
Walker2d-v5,SAC,TD3,bootstrap,0.05,0.5,30,0.554,0.01571890581433708
Walker2d-v5,SAC,TD3,permutation,0.05,0.5,30,0.53,0.015782902141241326
Walker2d-v5,SAC,TD3,t-test,0.05,0.5,50,0.695,0.014559361249725209
Walker2d-v5,SAC,TD3,Welch t-test,0.05,0.5,50,0.691,0.014612289348353324
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,0.5,50,0.706,0.014407081592050489
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,0.5,50,0.718,0.014229406171727618
Walker2d-v5,SAC,TD3,bootstrap,0.05,0.5,50,0.692,0.014599178059055244
Walker2d-v5,SAC,TD3,permutation,0.05,0.5,50,0.705,0.01442133835675455
Walker2d-v5,SAC,TD3,t-test,0.05,0.5,100,0.919,0.008627803892068941
Walker2d-v5,SAC,TD3,Welch t-test,0.05,0.5,100,0.898,0.009570579919733181
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,0.5,100,0.944,0.007270763371201131
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,0.5,100,0.943,0.007331507348424336
Walker2d-v5,SAC,TD3,bootstrap,0.05,0.5,100,0.904,0.009315793041926167
Walker2d-v5,SAC,TD3,permutation,0.05,0.5,100,0.908,0.009139803061335619
Walker2d-v5,SAC,TD3,t-test,0.05,1.0,2,0.152,0.011353237423748346
Walker2d-v5,SAC,TD3,Welch t-test,0.05,1.0,2,0.065,0.007795832219846705
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,1.0,2,0.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,1.0,2,0.0,0.0
Walker2d-v5,SAC,TD3,bootstrap,0.05,1.0,2,0.663,0.014947608504372864
Walker2d-v5,SAC,TD3,permutation,0.05,1.0,2,0.669,0.014880826589944525
Walker2d-v5,SAC,TD3,t-test,0.05,1.0,3,0.322,0.014775520295407536
Walker2d-v5,SAC,TD3,Welch t-test,0.05,1.0,3,0.241,0.013524755080961725
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,1.0,3,0.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,1.0,3,0.282,0.014229406171727617
Walker2d-v5,SAC,TD3,bootstrap,0.05,1.0,3,0.664,0.014936666294725875
Walker2d-v5,SAC,TD3,permutation,0.05,1.0,3,0.498,0.01581126180922952
Walker2d-v5,SAC,TD3,t-test,0.05,1.0,5,0.51,0.0158082257068907
Walker2d-v5,SAC,TD3,Welch t-test,0.05,1.0,5,0.498,0.01581126180922952
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,1.0,5,0.186,0.012304633273690036
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,1.0,5,0.258,0.013836039895866157
Walker2d-v5,SAC,TD3,bootstrap,0.05,1.0,5,0.677,0.014787528529135624
Walker2d-v5,SAC,TD3,permutation,0.05,1.0,5,0.549,0.01573527883451704
Walker2d-v5,SAC,TD3,t-test,0.05,1.0,10,0.726,0.014104041973845655
Walker2d-v5,SAC,TD3,Welch t-test,0.05,1.0,10,0.653,0.01505293991218991
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,1.0,10,0.46,0.015760710643876435
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,1.0,10,0.516,0.015803290796539814
Walker2d-v5,SAC,TD3,bootstrap,0.05,1.0,10,0.711,0.0143345387090063
Walker2d-v5,SAC,TD3,permutation,0.05,1.0,10,0.672,0.014846413708367418
Walker2d-v5,SAC,TD3,t-test,0.05,1.0,20,0.795,0.012766166221697099
Walker2d-v5,SAC,TD3,Welch t-test,0.05,1.0,20,0.802,0.012601428490452976
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,1.0,20,0.805,0.012528966437819202
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,1.0,20,0.806,0.012504559168559281
Walker2d-v5,SAC,TD3,bootstrap,0.05,1.0,20,0.799,0.01267276607532862
Walker2d-v5,SAC,TD3,permutation,0.05,1.0,20,0.812,0.01235540367612487
Walker2d-v5,SAC,TD3,t-test,0.05,1.0,30,0.919,0.008627803892068941
Walker2d-v5,SAC,TD3,Welch t-test,0.05,1.0,30,0.917,0.008724161850859943
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,1.0,30,0.925,0.00832916562447884
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,1.0,30,0.932,0.00796090447122687
Walker2d-v5,SAC,TD3,bootstrap,0.05,1.0,30,0.912,0.008958571314668425
Walker2d-v5,SAC,TD3,permutation,0.05,1.0,30,0.907,0.009184280047995052
Walker2d-v5,SAC,TD3,t-test,0.05,1.0,50,0.986,0.0037153734670958734
Walker2d-v5,SAC,TD3,Welch t-test,0.05,1.0,50,0.987,0.0035820385257559714
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,1.0,50,0.993,0.002636474919281427
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,1.0,50,0.996,0.0019959959919799443
Walker2d-v5,SAC,TD3,bootstrap,0.05,1.0,50,0.988,0.003443254274665176
Walker2d-v5,SAC,TD3,permutation,0.05,1.0,50,0.986,0.0037153734670958734
Walker2d-v5,SAC,TD3,t-test,0.05,1.0,100,1.0,0.0
Walker2d-v5,SAC,TD3,Welch t-test,0.05,1.0,100,1.0,0.0
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,1.0,100,1.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,1.0,100,1.0,0.0
Walker2d-v5,SAC,TD3,bootstrap,0.05,1.0,100,1.0,0.0
Walker2d-v5,SAC,TD3,permutation,0.05,1.0,100,1.0,0.0
Walker2d-v5,SAC,TD3,t-test,0.05,2.0,2,0.402,0.015504708962118573
Walker2d-v5,SAC,TD3,Welch t-test,0.05,2.0,2,0.201,0.012672766075328622
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,2.0,2,0.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,2.0,2,0.0,0.0
Walker2d-v5,SAC,TD3,bootstrap,0.05,2.0,2,0.878,0.010349685985574635
Walker2d-v5,SAC,TD3,permutation,0.05,2.0,2,0.876,0.010422283818818216
Walker2d-v5,SAC,TD3,t-test,0.05,2.0,3,0.717,0.014244683218660919
Walker2d-v5,SAC,TD3,Welch t-test,0.05,2.0,3,0.617,0.015372410351015223
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,2.0,3,0.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,2.0,3,0.572,0.015646597074124458
Walker2d-v5,SAC,TD3,bootstrap,0.05,2.0,3,0.862,0.01090669519148674
Walker2d-v5,SAC,TD3,permutation,0.05,2.0,3,0.81,0.012405643876881197
Walker2d-v5,SAC,TD3,t-test,0.05,2.0,5,0.83,0.0118785521003193
Walker2d-v5,SAC,TD3,Welch t-test,0.05,2.0,5,0.796,0.012742998077375669
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,2.0,5,0.577,0.015622771841129857
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,2.0,5,0.603,0.01547226550961429
Walker2d-v5,SAC,TD3,bootstrap,0.05,2.0,5,0.875,0.010458250331675944
Walker2d-v5,SAC,TD3,permutation,0.05,2.0,5,0.818,0.01220147532063234
Walker2d-v5,SAC,TD3,t-test,0.05,2.0,10,0.896,0.009653186002558947
Walker2d-v5,SAC,TD3,Welch t-test,0.05,2.0,10,0.888,0.00997276290703835
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,2.0,10,0.904,0.009315793041926167
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,2.0,10,0.924,0.008379976133617564
Walker2d-v5,SAC,TD3,bootstrap,0.05,2.0,10,0.906,0.009228434320078352
Walker2d-v5,SAC,TD3,permutation,0.05,2.0,10,0.901,0.009444522221901962
Walker2d-v5,SAC,TD3,t-test,0.05,2.0,20,0.993,0.002636474919281427
Walker2d-v5,SAC,TD3,Welch t-test,0.05,2.0,20,0.995,0.002230470802319547
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,2.0,20,0.998,0.0014127986409959495
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,2.0,20,0.997,0.0017294507798720387
Walker2d-v5,SAC,TD3,bootstrap,0.05,2.0,20,0.994,0.002442130217658347
Walker2d-v5,SAC,TD3,permutation,0.05,2.0,20,0.996,0.0019959959919799443
Walker2d-v5,SAC,TD3,t-test,0.05,2.0,30,1.0,0.0
Walker2d-v5,SAC,TD3,Welch t-test,0.05,2.0,30,1.0,0.0
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,2.0,30,1.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,2.0,30,1.0,0.0
Walker2d-v5,SAC,TD3,bootstrap,0.05,2.0,30,1.0,0.0
Walker2d-v5,SAC,TD3,permutation,0.05,2.0,30,1.0,0.0
Walker2d-v5,SAC,TD3,t-test,0.05,2.0,50,1.0,0.0
Walker2d-v5,SAC,TD3,Welch t-test,0.05,2.0,50,1.0,0.0
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,2.0,50,1.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,2.0,50,1.0,0.0
Walker2d-v5,SAC,TD3,bootstrap,0.05,2.0,50,1.0,0.0
Walker2d-v5,SAC,TD3,permutation,0.05,2.0,50,1.0,0.0
Walker2d-v5,SAC,TD3,t-test,0.05,2.0,100,1.0,0.0
Walker2d-v5,SAC,TD3,Welch t-test,0.05,2.0,100,1.0,0.0
Walker2d-v5,SAC,TD3,Mann-Whitney,0.05,2.0,100,1.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.05,2.0,100,1.0,0.0
Walker2d-v5,SAC,TD3,bootstrap,0.05,2.0,100,1.0,0.0
Walker2d-v5,SAC,TD3,permutation,0.05,2.0,100,1.0,0.0
Walker2d-v5,SAC,TD3,t-test,0.01,0.5,2,0.02,0.004427188724235731
Walker2d-v5,SAC,TD3,Welch t-test,0.01,0.5,2,0.006,0.002442130217658346
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,0.5,2,0.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,0.5,2,0.0,0.0
Walker2d-v5,SAC,TD3,bootstrap,0.01,0.5,2,0.474,0.01578999683343857
Walker2d-v5,SAC,TD3,permutation,0.01,0.5,2,0.473,0.01578831846651188
Walker2d-v5,SAC,TD3,t-test,0.01,0.5,3,0.028,0.005216895628628198
Walker2d-v5,SAC,TD3,Welch t-test,0.01,0.5,3,0.017,0.004087909000944126
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,0.5,3,0.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,0.5,3,0.0,0.0
Walker2d-v5,SAC,TD3,bootstrap,0.01,0.5,3,0.288,0.014319776534569246
Walker2d-v5,SAC,TD3,permutation,0.01,0.5,3,0.259,0.013853483316480371
Walker2d-v5,SAC,TD3,t-test,0.01,0.5,5,0.051,0.00695693898205238
Walker2d-v5,SAC,TD3,Welch t-test,0.01,0.5,5,0.045,0.0065555320150236475
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,0.5,5,0.035,0.005811626278418116
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,0.5,5,0.051,0.00695693898205238
Walker2d-v5,SAC,TD3,bootstrap,0.01,0.5,5,0.258,0.013836039895866157
Walker2d-v5,SAC,TD3,permutation,0.01,0.5,5,0.113,0.01001154333756789
Walker2d-v5,SAC,TD3,t-test,0.01,0.5,10,0.188,0.012355403676124872
Walker2d-v5,SAC,TD3,Welch t-test,0.01,0.5,10,0.14,0.010972693379476163
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,0.5,10,0.05,0.006892024376045111
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,0.5,10,0.072,0.008174105455644672
Walker2d-v5,SAC,TD3,bootstrap,0.01,0.5,10,0.293,0.014392741226048637
Walker2d-v5,SAC,TD3,permutation,0.01,0.5,10,0.202,0.012696298673235441
Walker2d-v5,SAC,TD3,t-test,0.01,0.5,20,0.33,0.014869431730903503
Walker2d-v5,SAC,TD3,Welch t-test,0.01,0.5,20,0.311,0.014638271755914358
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,0.5,20,0.162,0.011651437679531225
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,0.5,20,0.152,0.011353237423748346
Walker2d-v5,SAC,TD3,bootstrap,0.01,0.5,20,0.374,0.015301111070768685
Walker2d-v5,SAC,TD3,permutation,0.01,0.5,20,0.301,0.014505137021069467
Walker2d-v5,SAC,TD3,t-test,0.01,0.5,30,0.394,0.015451990163082553
Walker2d-v5,SAC,TD3,Welch t-test,0.01,0.5,30,0.393,0.015445096309184997
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,0.5,30,0.226,0.013225883713385657
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,0.5,30,0.257,0.013818502089589886
Walker2d-v5,SAC,TD3,bootstrap,0.01,0.5,30,0.387,0.015402305022301045
Walker2d-v5,SAC,TD3,permutation,0.01,0.5,30,0.42,0.015607690412101338
Walker2d-v5,SAC,TD3,t-test,0.01,0.5,50,0.488,0.01580683396509244
Walker2d-v5,SAC,TD3,Welch t-test,0.01,0.5,50,0.486,0.015805189021330938
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,0.5,50,0.467,0.015776913513105152
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,0.5,50,0.468,0.015778973350633434
Walker2d-v5,SAC,TD3,bootstrap,0.01,0.5,50,0.483,0.01580224667571039
Walker2d-v5,SAC,TD3,permutation,0.01,0.5,50,0.519,0.01579996835439869
Walker2d-v5,SAC,TD3,t-test,0.01,0.5,100,0.811,0.012380589646701
Walker2d-v5,SAC,TD3,Welch t-test,0.01,0.5,100,0.781,0.013078187947877183
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,0.5,100,0.834,0.011766222843376714
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,0.5,100,0.843,0.01150439046625244
Walker2d-v5,SAC,TD3,bootstrap,0.01,0.5,100,0.76,0.013505554412907307
Walker2d-v5,SAC,TD3,permutation,0.01,0.5,100,0.797,0.012719709116170855
Walker2d-v5,SAC,TD3,t-test,0.01,1.0,2,0.035,0.005811626278418116
Walker2d-v5,SAC,TD3,Welch t-test,0.01,1.0,2,0.008,0.0028170906978654416
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,1.0,2,0.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,1.0,2,0.0,0.0
Walker2d-v5,SAC,TD3,bootstrap,0.01,1.0,2,0.688,0.014651143300097778
Walker2d-v5,SAC,TD3,permutation,0.01,1.0,2,0.693,0.01458598642533305
Walker2d-v5,SAC,TD3,t-test,0.01,1.0,3,0.076,0.008379976133617566
Walker2d-v5,SAC,TD3,Welch t-test,0.01,1.0,3,0.063,0.007683163410991596
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,1.0,3,0.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,1.0,3,0.0,0.0
Walker2d-v5,SAC,TD3,bootstrap,0.01,1.0,3,0.545,0.015747221977225064
Walker2d-v5,SAC,TD3,permutation,0.01,1.0,3,0.483,0.01580224667571039
Walker2d-v5,SAC,TD3,t-test,0.01,1.0,5,0.28,0.014198591479439079
Walker2d-v5,SAC,TD3,Welch t-test,0.01,1.0,5,0.218,0.0130566458173606
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,1.0,5,0.072,0.008174105455644672
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,1.0,5,0.134,0.010772372069326236
Walker2d-v5,SAC,TD3,bootstrap,0.01,1.0,5,0.575,0.015632498200863484
Walker2d-v5,SAC,TD3,permutation,0.01,1.0,5,0.291,0.014363808687113596
Walker2d-v5,SAC,TD3,t-test,0.01,1.0,10,0.558,0.01570464899321217
Walker2d-v5,SAC,TD3,Welch t-test,0.01,1.0,10,0.52,0.0157987341265052
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,1.0,10,0.21,0.01288021738946979
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,1.0,10,0.256,0.013800869537822608
Walker2d-v5,SAC,TD3,bootstrap,0.01,1.0,10,0.64,0.015178932768808221
Walker2d-v5,SAC,TD3,permutation,0.01,1.0,10,0.567,0.015668790636165896
Walker2d-v5,SAC,TD3,t-test,0.01,1.0,20,0.673,0.014834790190629592
Walker2d-v5,SAC,TD3,Welch t-test,0.01,1.0,20,0.656,0.015022117027902558
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,1.0,20,0.557,0.015708309902723462
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,1.0,20,0.599,0.015498354751392161
Walker2d-v5,SAC,TD3,bootstrap,0.01,1.0,20,0.654,0.015042739112276061
Walker2d-v5,SAC,TD3,permutation,0.01,1.0,20,0.698,0.01451881537867329
Walker2d-v5,SAC,TD3,t-test,0.01,1.0,30,0.813,0.012330085157856779
Walker2d-v5,SAC,TD3,Welch t-test,0.01,1.0,30,0.812,0.01235540367612487
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,1.0,30,0.807,0.012480024038438387
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,1.0,30,0.803,0.012577400367325513
Walker2d-v5,SAC,TD3,bootstrap,0.01,1.0,30,0.771,0.013287550564344055
Walker2d-v5,SAC,TD3,permutation,0.01,1.0,30,0.823,0.012069424178476786
Walker2d-v5,SAC,TD3,t-test,0.01,1.0,50,0.947,0.007084560677981384
Walker2d-v5,SAC,TD3,Welch t-test,0.01,1.0,50,0.944,0.007270763371201131
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,1.0,50,0.973,0.005125524363418832
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,1.0,50,0.979,0.00453420334788814
Walker2d-v5,SAC,TD3,bootstrap,0.01,1.0,50,0.942,0.007391616873188169
Walker2d-v5,SAC,TD3,permutation,0.01,1.0,50,0.952,0.006759881655768837
Walker2d-v5,SAC,TD3,t-test,0.01,1.0,100,0.999,0.0009994998749374613
Walker2d-v5,SAC,TD3,Welch t-test,0.01,1.0,100,1.0,0.0
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,1.0,100,1.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,1.0,100,1.0,0.0
Walker2d-v5,SAC,TD3,bootstrap,0.01,1.0,100,1.0,0.0
Walker2d-v5,SAC,TD3,permutation,0.01,1.0,100,0.999,0.0009994998749374613
Walker2d-v5,SAC,TD3,t-test,0.01,2.0,2,0.123,0.010386096475577337
Walker2d-v5,SAC,TD3,Welch t-test,0.01,2.0,2,0.048,0.006759881655768835
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,2.0,2,0.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,2.0,2,0.0,0.0
Walker2d-v5,SAC,TD3,bootstrap,0.01,2.0,2,0.872,0.010564847372300274
Walker2d-v5,SAC,TD3,permutation,0.01,2.0,2,0.851,0.011260506205317771
Walker2d-v5,SAC,TD3,t-test,0.01,2.0,3,0.389,0.015416841440450765
Walker2d-v5,SAC,TD3,Welch t-test,0.01,2.0,3,0.261,0.013888088421377507
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,2.0,3,0.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,2.0,3,0.0,0.0
Walker2d-v5,SAC,TD3,bootstrap,0.01,2.0,3,0.807,0.012480024038438387
Walker2d-v5,SAC,TD3,permutation,0.01,2.0,3,0.737,0.013922320208930694
Walker2d-v5,SAC,TD3,t-test,0.01,2.0,5,0.727,0.014087973594523805
Walker2d-v5,SAC,TD3,Welch t-test,0.01,2.0,5,0.672,0.014846413708367418
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,2.0,5,0.277,0.014151713677148785
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,2.0,5,0.44,0.015697133496278867
Walker2d-v5,SAC,TD3,bootstrap,0.01,2.0,5,0.815,0.012279047194306243
Walker2d-v5,SAC,TD3,permutation,0.01,2.0,5,0.712,0.014319776534569246
Walker2d-v5,SAC,TD3,t-test,0.01,2.0,10,0.833,0.01179453263168999
Walker2d-v5,SAC,TD3,Welch t-test,0.01,2.0,10,0.794,0.0127892142057282
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,2.0,10,0.706,0.014407081592050489
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,2.0,10,0.812,0.01235540367612487
Walker2d-v5,SAC,TD3,bootstrap,0.01,2.0,10,0.831,0.011850696182081458
Walker2d-v5,SAC,TD3,permutation,0.01,2.0,10,0.81,0.012405643876881197
Walker2d-v5,SAC,TD3,t-test,0.01,2.0,20,0.975,0.004937104414532877
Walker2d-v5,SAC,TD3,Welch t-test,0.01,2.0,20,0.985,0.0038438262187565153
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,2.0,20,0.987,0.0035820385257559714
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,2.0,20,0.992,0.0028170906978654425
Walker2d-v5,SAC,TD3,bootstrap,0.01,2.0,20,0.978,0.004638534251247911
Walker2d-v5,SAC,TD3,permutation,0.01,2.0,20,0.982,0.004204283529925166
Walker2d-v5,SAC,TD3,t-test,0.01,2.0,30,0.999,0.0009994998749374613
Walker2d-v5,SAC,TD3,Welch t-test,0.01,2.0,30,1.0,0.0
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,2.0,30,1.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,2.0,30,0.999,0.0009994998749374613
Walker2d-v5,SAC,TD3,bootstrap,0.01,2.0,30,0.997,0.0017294507798720387
Walker2d-v5,SAC,TD3,permutation,0.01,2.0,30,0.998,0.0014127986409959495
Walker2d-v5,SAC,TD3,t-test,0.01,2.0,50,1.0,0.0
Walker2d-v5,SAC,TD3,Welch t-test,0.01,2.0,50,1.0,0.0
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,2.0,50,1.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,2.0,50,1.0,0.0
Walker2d-v5,SAC,TD3,bootstrap,0.01,2.0,50,1.0,0.0
Walker2d-v5,SAC,TD3,permutation,0.01,2.0,50,1.0,0.0
Walker2d-v5,SAC,TD3,t-test,0.01,2.0,100,1.0,0.0
Walker2d-v5,SAC,TD3,Welch t-test,0.01,2.0,100,1.0,0.0
Walker2d-v5,SAC,TD3,Mann-Whitney,0.01,2.0,100,1.0,0.0
Walker2d-v5,SAC,TD3,Ranked t-test,0.01,2.0,100,1.0,0.0
Walker2d-v5,SAC,TD3,bootstrap,0.01,2.0,100,1.0,0.0
Walker2d-v5,SAC,TD3,permutation,0.01,2.0,100,1.0,0.0
Walker2d-v5,SAC,DDPG,t-test,0.05,0.5,2,0.085,0.008819013550278738
Walker2d-v5,SAC,DDPG,Welch t-test,0.05,0.5,2,0.035,0.005811626278418116
Walker2d-v5,SAC,DDPG,Mann-Whitney,0.05,0.5,2,0.0,0.0
Walker2d-v5,SAC,DDPG,Ranked t-test,0.05,0.5,2,0.0,0.0
Walker2d-v5,SAC,DDPG,bootstrap,0.05,0.5,2,0.405,0.015523369479594306
Walker2d-v5,SAC,DDPG,permutation,0.05,0.5,2,0.421,0.015612783224012302
Walker2d-v5,SAC,DDPG,t-test,0.05,0.5,3,0.099,0.009444522221901964
Walker2d-v5,SAC,DDPG,Welch t-test,0.05,0.5,3,0.089,0.00900438781928011
Walker2d-v5,SAC,DDPG,Mann-Whitney,0.05,0.5,3,0.0,0.0
Walker2d-v5,SAC,DDPG,Ranked t-test,0.05,0.5,3,0.206,0.0127892142057282
Walker2d-v5,SAC,DDPG,bootstrap,0.05,0.5,3,0.313,0.014663935351739656
Walker2d-v5,SAC,DDPG,permutation,0.05,0.5,3,0.177,0.012069424178476784
Walker2d-v5,SAC,DDPG,t-test,0.05,0.5,5,0.116,0.010126401137620413
Walker2d-v5,SAC,DDPG,Welch t-test,0.05,0.5,5,0.116,0.010126401137620413
Walker2d-v5,SAC,DDPG,Mann-Whitney,0.05,0.5,5,0.085,0.008819013550278738
Walker2d-v5,SAC,DDPG,Ranked t-test,0.05,0.5,5,0.128,0.010564847372300274
Walker2d-v5,SAC,DDPG,bootstrap,0.05,0.5,5,0.23,0.013307892395116516
Walker2d-v5,SAC,DDPG,permutation,0.05,0.5,5,0.112,0.00997276290703835
Walker2d-v5,SAC,DDPG,t-test,0.05,0.5,10,0.177,0.012069424178476784
